item,data_inicio,qtd_inicio,valor_inicio,data_final,qtd_final,valor_final
80.03.104-1,8/1/2012,66780,132613.28,7/31/2013,110852.3972,238508.97
81.30.019-4,8/1/2012,2090,29296.57,7/31/2013,6050,90637.22
82.10.355-4,8/1/2012,3187,37093.87,7/31/2013,3301.777,43423.93
82.70.372-1,8/1/2012,29940,239738.95,7/31/2013,25124.7712,207910.22
82.53.405-9,8/1/2012,15716.0677,71403.56,7/31/2013,25838.4708,130196.41
82.53.475-0,8/1/2012,26685.59,65727.15,7/31/2013,26441.2524,76197.72
82.60.353-0,8/1/2012,6199,40155.46,7/31/2013,7595,50489.42
82.63.660-9,8/1/2012,3469.0921,36500.18,7/31/2013,4993.6117,58323.09
82.81.160-5,8/1/2012,17407.3419,36335.07,7/31/2013,33357.2315,84326.41
61.21.107-1,8/1/2012,344,66516.91,7/31/2013,452,100286.54
62.51.311-0,8/1/2012,1238,126920.51,7/31/2013,1572,179672.83
63.41.311-9,8/1/2012,812,63834.04,7/31/2013,644,57562.87
66.31.174-0,8/1/2012,279,27225.37,7/31/2013,586,64283.47
69.51.202-0,8/1/2012,212,61695.1,7/31/2013,480,157880.17
70.25.162-0,8/1/2012,330,71080.7,7/31/2013,488,108870.34
71.15.272-3,8/1/2012,115,28158.84,7/31/2013,581,152595.53
74.62.201-1,8/1/2012,7,9695.39,7/31/2013,93,138543.27
76.26.200-4,8/1/2012,216,62772.55,7/31/2013,799,257399.37
77.33.242-1,8/1/2012,165,128684.67,7/31/2013,263,224950.03
10.01.206-6,8/1/2012,4336.7272,8238.98,7/31/2013,2532.7309,5773.19
10.01.369-0,8/1/2012,2387.1626,6392.24,7/31/2013,5914,11637.51
47.05.018-9,8/1/2012,12,160.5,7/31/2013,242,4189.9
47.11.014-9,8/1/2012,5668,17669.48,7/31/2013,5110,48121.18
JVB-301-01,8/1/2012,1669,10654.2,7/31/2013,2637,17526.91
41.01.053-3,8/1/2012,26382,3157.55,7/31/2013,39560,10260.81
41.02.051-2,8/1/2012,70084,5333.46,7/31/2013,57737,5263.01
41.26.232-0,8/1/2012,593,11562.94,7/31/2013,546,11623.48
41.67.008-8,8/1/2012,6395,21283.82,7/31/2013,4599,16992.17
41.73.019-6,8/1/2012,0,0,7/31/2013,5262,17123.53
