,item,data_lancamento,qtd_entrada,valor_entrada,qtd_saida,valor_saida,qtd_inicio,valor_inicio,qtd_final,valor_final
0,10.01.206-6,1/10/2013,0.0,0.0,1009.721,2051.66,4336.7272,8238.98,3327.0062000000003,6187.32
1,10.01.206-6,1/11/2013,0.0,0.0,785.6790000000001,1596.44,3327.0062000000003,6187.32,2541.3272,4590.879999999999
2,10.01.206-6,1/14/2013,0.0,0.0,1201.9604,2442.2999999999997,2541.3272,4590.879999999999,1339.3668000000002,2148.5799999999995
3,10.01.206-6,1/15/2013,0.0,0.0,1097.4153000000001,2229.88,1339.3668000000002,2148.5799999999995,241.95150000000012,-81.30000000000064
4,10.01.206-6,1/16/2013,0.0,0.0,1169.1651,2375.65,241.95150000000012,-81.30000000000064,-927.2135999999998,-2456.9500000000007
5,10.01.206-6,1/17/2013,33.1737,67.4,1573.9086,3198.0499999999997,-927.2135999999998,-2456.9500000000007,-2467.9484999999995,-5587.6
6,10.01.206-6,1/18/2013,10638.837,21447.97,1513.5868,3075.49,-2467.9484999999995,-5587.6,6657.3017,12784.880000000001
7,10.01.206-6,1/21/2013,0.0,0.0,1219.8119000000002,2478.5500000000006,6657.3017,12784.880000000001,5437.489799999999,10306.33
8,10.01.206-6,1/22/2013,0.0,0.0,1029.7902,2092.45,5437.489799999999,10306.33,4407.6996,8213.880000000001
9,10.01.206-6,1/23/2013,0.0,0.0,1007.7434000000001,2047.67,4407.6996,8213.880000000001,3399.9561999999996,6166.210000000001
10,10.01.206-6,1/24/2013,1420.1162,2862.96,1136.2471000000003,2308.7499999999995,3399.9561999999996,6166.210000000001,3683.8252999999986,6720.420000000002
11,10.01.206-6,1/25/2013,0.0,0.0,1194.4449000000002,2427.03,3683.8252999999986,6720.420000000002,2489.380399999998,4293.390000000001
12,10.01.206-6,1/26/2013,0.0,0.0,1144.3847999999998,2325.29,2489.380399999998,4293.390000000001,1344.9955999999984,1968.1000000000013
13,10.01.206-6,1/28/2013,634.7465,1279.65,404.8804,822.6999999999999,1344.9955999999984,1968.1000000000013,1574.8616999999983,2425.0500000000015
14,10.01.206-6,1/29/2013,2337.4417000000003,4712.3099999999995,1072.6538,2179.55,1574.8616999999983,2425.0500000000015,2839.649599999999,4957.81
15,10.01.206-6,1/30/2013,0.0,0.0,1261.2786,2562.81,2839.649599999999,4957.81,1578.3709999999987,2395.0000000000005
16,10.01.206-6,1/31/2013,0.0,0.0,1008.9145,2050.04,1578.3709999999987,2395.0000000000005,569.4564999999988,344.9600000000005
17,10.01.206-6,1/7/2013,629.8755,1269.82,739.6887999999999,1502.99,569.4564999999988,344.9600000000005,459.64319999999884,111.79000000000042
18,10.01.206-6,1/8/2013,0.0,0.0,893.8091999999999,1816.1599999999999,459.64319999999884,111.79000000000042,-434.1660000000011,-1704.3699999999994
19,10.01.206-6,1/9/2013,1792.6245,3613.94,731.7545,1486.8600000000001,-434.1660000000011,-1704.3699999999994,626.7039999999988,422.7100000000005
20,10.01.206-6,10/1/2012,981.6116,1960.9299999999998,1178.5858,2341.07,626.7039999999988,422.7100000000005,429.7297999999987,42.570000000000164
21,10.01.206-6,10/10/2012,10307.3354,20393.52,262.6185,521.6500000000001,429.7297999999987,42.570000000000164,10474.446699999999,19914.44
22,10.01.206-6,10/11/2012,617.9218,1238.87,68.7361,136.53,10474.446699999999,19914.44,11023.632399999999,21016.78
23,10.01.206-6,10/15/2012,0.0,0.0,1279.0713,2540.67,11023.632399999999,21016.78,9744.561099999999,18476.11
24,10.01.206-6,10/16/2012,0.0,0.0,1202.7759,2389.1400000000003,9744.561099999999,18476.11,8541.785199999998,16086.970000000001
25,10.01.206-6,10/17/2012,0.0,0.0,1165.2911000000001,2314.6600000000003,8541.785199999998,16086.970000000001,7376.494099999998,13772.310000000001
26,10.01.206-6,10/18/2012,0.0,0.0,866.0321,1720.2200000000003,7376.494099999998,13772.310000000001,6510.461999999998,12052.09
27,10.01.206-6,10/19/2012,0.0,0.0,929.6893,1846.6599999999999,6510.461999999998,12052.09,5580.772699999998,10205.43
28,10.01.206-6,10/2/2012,0.0,0.0,808.7931000000001,1606.5400000000002,5580.772699999998,10205.43,4771.979599999998,8598.89
29,10.01.206-6,10/22/2012,0.0,0.0,1248.7731999999999,2480.47,4771.979599999998,8598.89,3523.206399999998,6118.42
30,10.01.206-6,10/23/2012,0.0,0.0,1048.6623000000002,2083.02,3523.206399999998,6118.42,2474.5440999999983,4035.4
31,10.01.206-6,10/24/2012,0.0,0.0,1075.2814999999998,2135.8600000000006,2474.5440999999983,4035.4,1399.2625999999984,1899.5399999999995
32,10.01.206-6,10/25/2012,616.6446,1236.32,1116.3873,2217.5500000000006,1399.2625999999984,1899.5399999999995,899.5198999999982,918.309999999999
